Trait,Chicken (farms),Environment (farms),Food Workers,Symptomatic humans,Retail meat (Chicken or pork),Non-food Workers,,Serovars
APH(4)-Ia_sul2_ISAba1@IS4@IS10_ISEc59@IS6@nan,0,0,1,0,1,0,,2
APH(6)-Id_floR_tet(A)_ISVsa3@ISCR@nan,1,0,0,0,0,0,,1
armA_ISEc28@IS5@IS903,0,0,1,0,5,0,,2
armA_ISEc28@IS5@IS903_ISEc29@IS4@IS10,0,0,1,0,0,0,,1
armA_mphE_msrE_ISEc28@IS5@IS903_ISEc29@IS4@IS10,0,0,2,0,0,0,,2
armA_msrE_ISEc28@IS5@IS903_ISEc29@IS4@IS10,0,0,1,0,0,0,,1
CMY-59_IS1294@IS91@nan,0,0,0,0,1,0,,1
CMY-59_ISEc9@IS1380@nan,0,0,27,1,3,4,,8
CTX-M-123_IS1X2@IS1@nan,0,1,0,0,0,0,,1
CTX-M-123_ISEc9@IS1380@nan,0,0,0,1,0,0,,1
CTX-M-125_IS903B@IS5@IS903_ISEc9@IS1380@nan,0,0,0,1,0,0,,1
CTX-M-125_ISEc9@IS1380@nan,0,0,0,1,0,0,,1
CTX-M-130_IS1294@IS91@nan_IS903B@IS5@IS903,0,0,0,1,0,0,,1
CTX-M-130_IS1A@IS1@nan_IS903B@IS5@IS903,0,0,0,3,0,0,,1
CTX-M-130_IS903B@IS5@IS903,0,0,1,1,0,0,,1
CTX-M-14_FosA3_IS10R@IS4@IS10,0,0,0,0,1,0,,1
CTX-M-14_IS903B@IS5@IS903,0,0,3,1,2,0,,6
CTX-M-14_ISEc9@IS1380@nan,0,0,14,0,2,0,,5
CTX-M-14_oqxA_oqxB_IS903B@IS5@IS903_ISEc9@IS1380@nan,0,0,0,1,0,0,,1
CTX-M-27_IS903B@IS5@IS903,2,0,2,0,1,0,,2
CTX-M-3_TEM-1_ISEc9@IS1380@nan,0,0,1,0,2,0,,2
CTX-M-55_IS903B@IS5@IS903,0,0,3,0,0,0,,1
CTX-M-55_ISEc9@IS1380@nan,15,4,28,5,1,0,,10
CTX-M-55_LAP-2_TEM-1_IS903B@IS5@IS903,0,0,2,0,0,0,,1
CTX-M-55_LAP-2_TEM-1_ISEc9@IS1380@nan,16,0,26,0,0,2,,4
CTX-M-55_QnrS1_ISEc9@IS1380@nan_ISKpn19@ISKra4@ISAzba1,0,0,2,0,0,0,,2
CTX-M-55_QnrS1_ISKpn19@ISKra4@ISAzba1,35,6,0,0,1,0,,2
CTX-M-55_QnrS1_TEM-1_ISEc9@IS1380@nan_ISKpn19@ISKra4@ISAzba1,0,0,2,0,0,0,,2
CTX-M-64_ISEc9@IS1380@nan_ISKpn26@IS5@IS5,0,0,2,0,0,0,,2
CTX-M-65_IS903B@IS5@IS903,8,2,31,2,10,3,,10
CTX-M-65_tet(A)_IS903B@IS5@IS903,0,0,1,0,0,0,,1
CTX-M-9_ISEc9@IS1380@nan,1,0,24,0,0,3,,1
dfrA12_oqxA_oqxB_IS26@IS6@nan,0,0,1,0,0,0,,1
dfrA12_tet(A)_IS26@IS6@nan,0,0,1,0,0,0,,1
dfrA14_IS26@IS6@nan,0,0,6,0,0,2,,2
DHA-1_QnrB4_sul1_ISAs29@IS21@nan,0,0,2,0,0,0,,2
Erm(42)_ISPa13@IS4@ISH8,0,0,0,0,0,1,,1
Erm(42)_sul2_ISVsa3@ISCR@nan,0,0,0,0,1,0,,1
floR_IS1006@IS6@nan,1,0,54,5,11,2,,9
floR_IS1006@IS6@nan_IS5075@IS110@IS1111,0,1,31,0,2,4,,5
floR_IS1006@IS6@nan_IS5075@IS110@IS1111_ISKpn26@IS5@IS5,0,0,4,0,0,0,,3
floR_IS1006@IS6@nan_IS6100@IS6@nan,0,0,1,0,0,0,,1
floR_IS1006@IS6@nan_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
floR_IS26@IS6@nan_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
floR_ISEc57@IS21@nan,0,0,1,1,0,0,,1
floR_ISVsa3@ISCR@nan,58,13,213,5,4,25,,29
floR_sul2_IS1006@IS6@nan_ISAba1@IS4@IS10_ISVsa3@ISCR@nan,0,0,5,1,6,1,,5
floR_sul2_IS1006@IS6@nan_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
floR_sul2_IS5075@IS110@IS1111_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
floR_sul2_ISAba1@IS4@IS10_ISVsa3@ISCR@nan,0,0,7,0,0,0,,1
floR_sul2_ISVsa3@ISCR@nan,0,0,2,0,0,0,,1
floR_tet(A)_ISKpn19@ISKra4@ISAzba1_ISVsa3@ISCR@nan,0,0,1,0,0,0,,1
floR_tet(A)_ISVsa3@ISCR@nan,16,1,41,0,1,5,,10
FosA3_TEM-1_rmtB_IS1294@IS91@nan,6,1,0,0,0,0,,1
LAP-2_QnrS1_TEM-1_ISKpn19@ISKra4@ISAzba1_ISKpn60@IS110@nan,0,0,1,0,2,0,,1
MCR-1.1_IS1A@IS1@nan,0,0,1,0,0,0,,1
MCR-1.1_ISApl1@IS30@nan,0,0,4,0,2,0,,3
