,AMC,SAM,TZP,CFZ,FEP,FOX,CAZ,CRO,CXM,ETP,IPM,MEM,CHL,FOS,AMK,GEN,TOB,CIP,LVX,NIT,MIN,TET,SXT,CTX,CZA,AZM,AMP,MXF,NOR,NAL,STR,AZI,XNL,SUL,DOX,KAN,COL
2015-0372-3,S,I,S,R,S,S,S,R,S,R,S,S,I,S,S,S,S,S,R,S,R,I,R,,,S,,R,S,,,,,,,,I
2015-0374,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0375,I,R,S,R,R,S,R,R,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,R,,R,S,,,,,,,,I
2015-0383,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0390,S,R,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0391,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,S,S,R,R,,,S,,I,R,,,,,,,,I
2015-0399-1,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2015-0401,S,I,S,S,S,S,R,S,S,S,S,S,R,S,S,R,R,R,R,S,S,R,R,,,S,,I,R,,,,,,,,I
2015-0403,R,R,I,R,S,R,S,R,R,S,S,S,R,S,S,S,S,R,S,S,S,R,R,,,R,,S,R,,,,,,,,I
2015-0412,R,R,S,R,S,R,R,R,R,S,S,S,R,S,S,S,S,R,S,S,S,R,R,,,R,,S,R,,,,,,,,I
2015-0421,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,S,,,,,,,,I
2015-0428,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,R,S,I,S,R,S,,,S,,S,S,,,,,,,,I
2015-0436,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,R
2015-0437,I,R,I,R,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,I,I,R,S,,,S,,S,S,,,,,,,,I
2015-0445,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,S,,,S,,S,S,,,,,,,,I
2015-0456,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,S,,,S,,S,S,,,,,,,,I
2015-0461,S,R,I,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,S,,,,,,,,I
2015-0464,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0467,S,R,S,I,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,,,S,,S,S,,,,,,,,R
2015-0477,S,I,R,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0481,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,R,S,R,S,,,S,,S,S,,,,,,,,I
2015-0485,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,S,,,,,,,,I
2015-0487,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0490,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0491,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-0492,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,S,,,,,,,,I
2015-0499,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0504,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,S,S,R,R,,,S,,I,R,,,,,,,,I
2015-0513,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-0524,S,I,S,R,R,S,R,R,R,S,S,S,S,S,S,S,S,S,S,S,R,R,S,,,R,,S,S,,,,,,,,I
2015-0525,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,R,S,S,I,R,R,,,S,,I,S,,,,,,,,R
2016-0002,I,R,S,R,R,S,R,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0006,I,R,I,S,R,S,S,R,R,S,S,S,S,S,S,S,R,S,S,S,I,R,S,,,R,,S,S,,,,,,,,R
2016-0008,S,S,S,S,R,S,S,R,R,S,S,S,I,S,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,R
2016-0009,I,R,S,S,R,S,R,R,R,S,S,S,S,S,S,S,R,S,S,S,R,R,S,,,R,,S,S,,,,,,,,R
2016-0011,S,R,S,S,R,S,S,R,R,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,R,,S,S,,,,,,,,R
2016-0017,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0018,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0019,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0020,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0021,S,S,S,S,R,S,S,R,I,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
2016-0024,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0025,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0026,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2016-0028,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,I,R,S,,,R,,S,S,,,,,,,,R
2016-0030,S,S,S,S,R,S,S,R,R,S,S,S,R,S,S,S,I,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2016-0031,R,R,S,R,S,I,R,R,R,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,I,,S,S,,,,,,,,I
2016-0033,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0044,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2016-0045,S,S,S,S,R,S,S,R,S,R,S,S,R,R,S,S,S,S,S,S,R,R,R,,,R,,S,S,,,,,,,,I
2016-0046,S,I,S,S,S,S,S,S,S,S,S,S,R,R,S,R,R,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2016-0048,I,R,S,R,S,R,S,S,I,S,S,S,R,S,S,R,R,R,R,R,R,R,R,,,S,,I,I,,,,,,,,I
2016-0050,I,I,S,I,I,I,S,I,S,R,S,S,R,R,S,R,I,R,R,S,R,R,R,,,R,,I,I,,,,,,,,I
2016-0051,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2016-0052,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2016-0057,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0060,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,I,R,R,R,,,S,,S,S,,,,,,,,I
2016-0062,S,S,S,S,R,S,S,R,S,S,S,S,R,S,S,R,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,R
2016-0066,I,R,S,S,S,S,S,S,S,S,S,S,S,R,S,S,R,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2016-0069,S,S,S,S,R,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,,R,,S,S,,,,,,,,R
2016-0073,S,I,S,S,R,S,S,R,S,S,S,S,R,R,S,R,R,R,S,S,S,R,R,,,R,,S,S,,,,,,,,R
2016-0074,I,I,S,I,I,I,S,R,S,R,S,S,R,S,S,R,R,R,R,S,R,R,R,,,S,,I,I,,,,,,,,I
2016-0080,I,I,S,I,S,I,S,S,S,S,S,S,R,S,S,R,I,R,R,S,R,R,R,,,S,,S,I,,,,,,,,I
2016-0085,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2016-0090,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2016-0091,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2016-0092,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2016-0095,S,S,S,S,R,S,S,R,R,R,S,S,R,R,S,S,I,S,S,S,S,R,R,,,R,,S,S,,,,,,,,I
